CNN,STREET,ST_TYPE,CLASS,WIDTH_MIN,WIDTH_RECO,SIDEWALK_F,SIDE,shape
105000.0,01ST,ST,Downtown Commercial,10.0,12.0,15.0,W,"LINESTRING (-122.39702 37.78933, -122.39656 37.78896)"
104002.0,01ST,ST,Downtown Commercial,10.0,12.0,15.0,W,"LINESTRING (-122.397255 37.789516, -122.39702 37.78933)"
104001.0,01ST,ST,Downtown Commercial,10.0,12.0,15.0,W,"LINESTRING (-122.39756 37.789757, -122.397255 37.789516)"
111000.0,01ST,ST,Downtown Residential,12.0,15.0,10.0,Both,"LINESTRING (-122.39447 37.787292, -122.393906 37.786846)"
103000.0,01ST,ST,Downtown Commercial,10.0,12.0,15.0,W,"LINESTRING (-122.39793 37.790047, -122.39756 37.789757)"
102000.0,01ST,ST,Downtown Commercial,10.0,12.0,15.0,W,"LINESTRING (-122.39815 37.790222, -122.39793 37.790047)"
101000.0,01ST,ST,Downtown Commercial,10.0,12.0,15.0,W,"LINESTRING (-122.398575 37.790565, -122.39815 37.790222)"
108001.0,01ST,ST,Downtown Residential,12.0,15.0,10.0,Both,"LINESTRING (-122.39546 37.788086, -122.395 37.787712)"
107000.0,01ST,ST,Downtown Commercial,10.0,12.0,10.0,Both,"LINESTRING (-122.39602 37.788532, -122.39546 37.788086)"
106000.0,01ST,ST,Downtown Commercial,10.0,12.0,15.0,W,"LINESTRING (-122.39656 37.78896, -122.39602 37.788532)"
100000.0,01ST,ST,Downtown Commercial,10.0,12.0,15.0,W,"LINESTRING (-122.39913 37.79101, -122.398575 37.790565)"
110000.0,01ST,ST,Downtown Residential,12.0,15.0,10.0,Both,"LINESTRING (-122.395 37.787712, -122.39447 37.787292)"
113000.0,01ST,ST,Downtown Residential,12.0,15.0,10.0,Both,"LINESTRING (-122.39343 37.78647, -122.39292 37.786064)"
112000.0,01ST,ST,Downtown Residential,12.0,15.0,10.0,Both,"LINESTRING (-122.393906 37.786846, -122.39343 37.78647)"
114000.0,01ST,ST,Alley,6.0,9.0,10.0,Both,"LINESTRING (-122.39292 37.786064, -122.39223 37.78551)"
127000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.45893 37.76625, -122.45887 37.7653)"
128000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.45887 37.7653, -122.4588 37.764362)"
124000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.45985 37.779278, -122.45971 37.777424)"
144000.0,02ND,ST,Mixed-use,12.0,15.0,10.0,Both,"LINESTRING (-122.39307 37.782646, -122.39283 37.78245)"
122000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.46012 37.78313, -122.459984 37.781208)"
123000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.459984 37.781208, -122.45985 37.779278)"
145000.0,02ND,ST,Mixed-use,12.0,15.0,10.0,Both,"LINESTRING (-122.39283 37.78245, -122.3926 37.78227)"
125000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.45971 37.777424, -122.45957 37.775562)"
138000.0,02ND,ST,Mixed-use,12.0,15.0,10.0,W,"LINESTRING (-122.39669 37.785538, -122.39588 37.784893)"
139000.0,02ND,ST,Mixed-use,12.0,15.0,10.0,W,"LINESTRING (-122.39588 37.784893, -122.39515 37.784306)"
140000.0,02ND,ST,Mixed-use,12.0,15.0,10.0,Both,"LINESTRING (-122.39515 37.784306, -122.394135 37.783497)"
130000.0,02ND,ST,Downtown Commercial,10.0,12.0,15.0,Both,"LINESTRING (-122.4008 37.78881, -122.40033 37.788437)"
131000.0,02ND,ST,Downtown Commercial,10.0,12.0,15.0,Both,"LINESTRING (-122.40033 37.788437, -122.39979 37.788002)"
133000.0,02ND,ST,Downtown Commercial,10.0,12.0,15.0,Both,"LINESTRING (-122.39924 37.787575, -122.39877 37.787197)"
134000.0,02ND,ST,Downtown Commercial,10.0,12.0,15.0,Both,"LINESTRING (-122.39877 37.787197, -122.39825 37.786774)"
135000.0,02ND,ST,Downtown Commercial,10.0,12.0,15.0,Both,"LINESTRING (-122.39825 37.786774, -122.39769 37.786335)"
136000.0,02ND,ST,Downtown Commercial,10.0,12.0,15.0,Both,"LINESTRING (-122.39769 37.786335, -122.397224 37.785957)"
137000.0,02ND,ST,Downtown Commercial,10.0,12.0,15.0,Both,"LINESTRING (-122.397224 37.785957, -122.39669 37.785538)"
142000.0,02ND,ST,Mixed-use,12.0,15.0,10.0,Both,"LINESTRING (-122.39361 37.783073, -122.39329 37.782818)"
132000.0,02ND,ST,Downtown Commercial,10.0,12.0,15.0,Both,"LINESTRING (-122.39979 37.788002, -122.39924 37.787575)"
143000.0,02ND,ST,Mixed-use,12.0,15.0,10.0,Both,"LINESTRING (-122.39329 37.782818, -122.39307 37.782646)"
148000.0,02ND,ST,Downtown Residential,12.0,15.0,15.0,Both,"LINESTRING (-122.39051 37.7806, -122.38958 37.779858)"
147000.0,02ND,ST,Mixed-use,12.0,15.0,10.0,Both,"LINESTRING (-122.39207 37.78184, -122.39051 37.7806)"
146000.0,02ND,ST,Mixed-use,12.0,15.0,10.0,Both,"LINESTRING (-122.3926 37.78227, -122.39207 37.78184)"
129000.0,02ND,ST,Downtown Commercial,10.0,12.0,15.0,Both,"LINESTRING (-122.40136 37.78926, -122.4008 37.78881)"
126000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.45957 37.775562, -122.45947 37.774162)"
141000.0,02ND,ST,Mixed-use,12.0,15.0,10.0,Both,"LINESTRING (-122.394135 37.783497, -122.39361 37.783073)"
121000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.46026 37.785, -122.46012 37.78313)"
118000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.46042 37.787243, -122.46039 37.78686)"
120000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.4603 37.785534, -122.46026 37.785)"
119000.0,02ND,AVE,Neighborhood Residential,10.0,12.0,15.0,Both,"LINESTRING (-122.46039 37.78686, -122.4603 37.785534)"
219101.0,03RD,ST,Commercial Throughway,12.0,15.0,14.0,Both,"LINESTRING (-122.392334 37.73006, -122.39231 37.72994, -122.39252 37.729343, -122.39261 37.729275)"
219201.0,03RD,ST,Commercial Throughway,12.0,15.0,14.0,Both,"LINESTRING (-122.392334 37.73006, -122.39244 37.729965, -122.39265 37.72937, -122.39261 37.729275)"
220101.0,03RD,ST,Commercial Throughway,12.0,15.0,14.0,Both,"LINESTRING (-122.39261 37.729275, -122.39259 37.729126, -122.39269 37.728855)"
220102.0,03RD,ST,Commercial Throughway,12.0,15.0,14.0,Both,"LINESTRING (-122.39269 37.728855, -122.39279 37.72856, -122.39288 37.728485)"
220201.0,03RD,ST,Commercial Throughway,12.0,15.0,14.0,Both,"LINESTRING (-122.39261 37.729275, -122.39272 37.729156, -122.39292 37.728603, -122.39288 37.728485)"
221101.0,03RD,ST,Commercial Throughway,12.0,15.0,14.0,Both,"LINESTRING (-122.39288 37.728485, -122.39285 37.728382, -122.39311 37.727802, -122.39322 37.72773)"
222101.0,03RD,ST,Commercial Throughway,12.0,15.0,14.0,Both,"LINESTRING (-122.39322 37.72773, -122.39321 37.72759, -122.39345 37.72705, -122.393555 37.726974)"
222201.0,03RD,ST,Commercial Throughway,12.0,15.0,14.0,Both,"LINESTRING (-122.39322 37.72773, -122.393326 37.727654, -122.39357 37.727116, -122.393555 37.726974)"
162000.0,03RD,AVE,Neighborhood Residential,10.0,12.0,15.0,W,"LINESTRING (-122.45988 37.764313, -122.45978 37.76292)"
184001.0,03RD,ST,Residential Throughway,12.0,15.0,10.0,Both,"LINESTRING (-122.390015 37.776295, -122.389854 37.774548)"
184101.0,03RD,ST,Residential Throughway,12.0,15.0,0.0,Both,"LINESTRING (-122.389854 37.774548, -122.38976 37.774426, -122.389626 37.77301, -122.3897 37.772926)"
185101.0,03RD,ST,Residential Throughway,12.0,15.0,0.0,,"LINESTRING (-122.3897 37.772926, -122.38961 37.77284, -122.38954 37.772106, -122.389595 37.77199)"
185102.0,03RD,ST,Commercial Throughway,12.0,15.0,0.0,,"LINESTRING (-122.389595 37.77199, -122.38952 37.77189, -122.38946 37.771217, -122.38951 37.771107)"
185103.0,03RD,ST,Park Interior,-1.0,-1.0,0.0,,"LINESTRING (-122.38951 37.771107, -122.389435 37.771, -122.38941 37.770767, -122.38947 37.770653)"
185104.0,03RD,ST,Commercial Throughway,12.0,15.0,0.0,,"LINESTRING (-122.38947 37.770653, -122.38939 37.770546, -122.38924 37.76893, -122.3893 37.768814)"
185105.0,03RD,ST,Commercial Throughway,12.0,15.0,0.0,,"LINESTRING (-122.3893 37.768814, -122.38921 37.76871, -122.38905 37.76703, -122.389084 37.7669)"
185202.0,03RD,ST,Commercial Throughway,12.0,15.0,0.0,,"LINESTRING (-122.389595 37.77199, -122.389656 37.77188, -122.389595 37.77121, -122.38951 37.771107)"
185203.0,03RD,ST,Park Interior,-1.0,-1.0,0.0,Both,"LINESTRING (-122.38951 37.771107, -122.38957 37.770992, -122.38955 37.770756, -122.38947 37.770653)"
185204.0,03RD,ST,Commercial Throughway,12.0,15.0,0.0,,"LINESTRING (-122.38947 37.770653, -122.38953 37.77054, -122.38945 37.769753)"
