OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,INSTALL_MO,INSTALL_YR,UPDATE_MO,UPDATE_YR,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
16,27562000,,ARGUELLO BLVD,EUCLID AVE,MIXING ZONE,2,10,2016,,,POINT (-122.45903 37.78382),11,8,6,31,11
216,24272000,,8TH ST,FOLSOM ST,TWO-STAGE LEFT,1,,2014,1,2018,POINT (-122.41005 37.774986),32,1,10,34,32
186,24819000,,BATTERY ST,THE EMBARCADERO,INTERSECTION SHARROW,2,10,2017,8,2019,POINT (-122.40196 37.804066),77,6,3,8,77
967,24444000,,FRANKLIN ST,PAGE ST,INTERSECTION SHARROW,2,2,2020,,,POINT (-122.420746 37.77429),21,4,11,9,21
1,25968000,E,MCALLISTER ST,FILLMORE ST,BIKE BOX,1,,2015,,,POINT (-122.43175 37.778625),97,4,11,39,97
174,26379000,"N,S",MASONIC AVE,FULTON ST,INTERSECTION SHARROW,2,8,2019,,,POINT (-122.44646 37.775795),24,7,11,18,24
44,26319000,N,BAKER ST,OAK ST,BIKE BOX,1,,2013,,,POINT (-122.44072 37.77271),112,7,11,3,112
196,25804000,,MARKET ST,16TH ST,BIKE BOX,1,11,2016,,,POINT (-122.43306 37.76419),38,3,5,5,38
84,25987000,,DUBOCE AVE,STEINER ST,INTERSECTION SHARROW,3,,2012,,,POINT (-122.43156 37.769302),28,7,5,5,28
103,24299000,,8TH ST,HOWARD ST,TWO-STAGE LEFT,1,5,2017,,,POINT (-122.41159 37.776215),32,1,10,34,32
20,27211000,,ARGUELLO BLVD,CABRILLO ST,INTERSECTION SHARROW,1,10,2016,,,POINT (-122.45845 37.77561),12,8,4,18,12
70,24238000,,11TH ST,FOLSOM ST,TWO-STAGE LEFT,3,1,2018,,,POINT (-122.41402 37.77186),32,1,10,34,32
108,24315000,,7TH ST,MISSION ST,MIXING ZONE,1,4,2017,,,POINT (-122.41093 37.779205),32,1,10,34,32
148,25175000,,TURK ST,POLK ST,BIKE BOX,2,4,2018,,,POINT (-122.41898 37.782166),21,4,10,36,21
25,24922000,,MARKET ST,GOLDEN GATE AVE,TWO-STAGE LEFT,1,6,2016,,,POINT (-122.41028 37.782227),32,5,10,34,32
324,24378000,S,VALENCIA ST,14TH ST,MIXING ZONE,1,5,2019,,,POINT (-122.42219 37.768135),53,3,2,20,53
48,32904000,NE,SLOAT ST,GREAT HWY,BIKE BOX,1,,2015,,,POINT (-122.50671 37.735466),43,10,8,16,43
58,24262000,,7TH ST,FOLSOM ST,TWO-STAGE LEFT,1,4,2017,1,2018,POINT (-122.40783 37.77674),32,1,10,34,32
135,54188000,,VALENCIA ST,ROSA PARK LN,INTERSECTION SHARROW,1,5,2019,,,POINT (-122.42212 37.767467),53,3,2,20,53
120,26594000,,STEINER ST,GEARY BLVD,INTERSECTION SHARROW,4,10,2018,,,POINT (-122.43455 37.784145),97,4,11,39,97
130,25209000,,POLK ST,FERN ST,INTERSECTION SHARROW,1,5,2019,,,POINT (-122.4202 37.78822),50,4,3,21,50
121,25182000,,POLK ST,GEARY ST,BIKE SIGNAL,2,3,2019,,,POINT (-122.41972 37.78589),20,4,10,36,20
144,34013000,,SANSOME ST,THE EMBARCADERO,INTERSECTION SHARROW,3,,2015,8,2019,POINT (-122.40342 37.80518),77,6,3,23,77
111,24228000,,13TH ST,HARRISON ST,TWO-STAGE LEFT,2,9,2015,5,2017,POINT (-122.41337 37.769497),53,3,2,20,53
57,25853000,NE,MCCOPPIN ST,VALENCIA ST,BIKE BOX,1,,2013,,,POINT (-122.422516 37.77159),32,1,10,20,32
1922,27367000,,20TH AVE,KIRKHAM ST,INTERSECTION SHARROW,4,10,2020,,,POINT (-122.47792 37.75978),39,10,7,35,39
204,26383000,"SW,NE",MASONIC AVE,GOLDEN GATE AVE,TWO-STAGE LEFT,2,8,2018,,,POINT (-122.44683 37.777664),97,7,11,18,97
65,23926000,,COLUMBIA SQUARE ST,FOLSOM ST,INTERSECTION SHARROW,1,1,2018,,,POINT (-122.406425 37.77785),32,1,10,34,32
328,24543000,,2ND ST,NATOMA ST,INTERSECTION SHARROW,2,5,2019,,,POINT (-122.39877 37.787197),32,1,10,8,32
61,23936000,,FALMOUTH ST,FOLSOM ST,INTERSECTION SHARROW,1,1,2018,,,POINT (-122.40442 37.779434),32,1,10,34,32
117,21345000,,VALENCIA ST,CESAR CHAVEZ ST,MIXING ZONE,1,8,2017,,,POINT (-122.420265 37.74812),83,3,2,2,83
139,24201000,,8TH ST,HARRISON ST,INTERSECTION SHARROW,2,6,2019,,,POINT (-122.4085 37.773754),32,1,10,34,32
179,23609000,,INDIANA ST,25TH ST,TWO-STAGE LEFT,1,11,2019,,,POINT (-122.39067 37.75266),56,2,9,1,56
323,24377000,N,VALENCIA ST,15TH ST,MIXING ZONE,1,5,2019,,,POINT (-122.42203 37.766533),53,3,2,20,53
94,54159000,,CARGO WAY,ILLINOIS ST,INTERSECTION SHARROW,4,,2012,,,POINT (-122.386024 37.745537),56,2,9,1,56
149,26400000,"N,S",MASONIC AVE,ANZA ST,INTERSECTION SHARROW,2,8,2019,,,POINT (-122.4475 37.781063),13,7,6,18,13
